Entity,Year,Records,Organization type,Method,Industry
21st Century Oncology,2016,2200000,healthcare,hacked,Healthcare
500px,2020,14870304,social networking,hacked,Technology
Accendo Insurance Co.,2020,175350,healthcare,poor security,Healthcare
Adobe Systems Incorporated,2013,152000000,tech,hacked,Technology
Adobe Inc.,2019,7500000,tech,poor security,Technology
Advocate Medical Group,2017,4000000,healthcare,lost / stolen media,Healthcare
AerServ (subsidiary of InMobi),2018,75000,advertising,hacked,Other
"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media,Healthcare
Airtel,2019,320000000,telecommunications,poor security,Technology
Air Canada,2018,20000,transport,hacked,Retail
TD Ameritrade,2005,200000,financial,lost / stolen media,Finance
Ancestry.com,2021,300000,web,poor security,Technology
Animal Jam,2020,46000000,gaming,hacked,Technology
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked,Healthcare
Anthem Inc.,2021,80000000,healthcare,hacked,Healthcare
AOL,2021,92000000,web,"inside job, hacked",Technology
AOL,2021,20000000,web,accidentally published,Technology
AOL,2014,2400000,web,hacked,Technology
"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published,Other
Apple,2021,275000,tech,hacked,Technology
Apple Health Medicaid,2021,91000,healthcare,poor security,Healthcare
Ashley Madison,2015,32000000,web,hacked,Technology
AT&T,2008,113000,telecoms,lost / stolen computer,Technology
AT&T,2010,114000,telecoms,hacked,Technology
Auction.co.kr,2008,18000000,web,hacked,Technology
Automatic Data Processing,2005,125000,financial,poor security,Finance
"AvMed, Inc.",2009,1220000,healthcare,lost / stolen computer,Healthcare
Bailey's Inc.,2015,250000,retail,hacked,Retail
The Bank of New York Mellon,2008,12500000,financial,lost / stolen media,Finance
Bank of America,2005,1200000,financial,lost / stolen media,Finance
Bell Canada,2017,1900000,telecoms,poor security,Technology
Bell Canada,2018,100000,telecoms,hacked,Technology
Benesse,2014,35040000,educational services,hacked,Other
Betfair,2010,2300000,web,hacked,Technology
Bethesda Game Studios,2011,200000,gaming,hacked,Technology
Blank Media Games,2018,7633234,gaming,hacked,Technology
Blizzard Entertainment,2012,14000000,gaming,hacked,Technology
BlueCross BlueShield of Tennessee,2009,1023209,healthcare,lost / stolen media,Healthcare
BMO and Simplii,2018,90000,banking,poor security,Finance
2018 British Airways cyberattack,2018,500000,transport,hacked,Retail
California Department of Child Support Services,2012,800000,government,lost / stolen media,Government
Canva,2019,140000000,web,hacked,Technology
Capcom,2020,350000,game,hacked,Other
Capital One,2019,106000000,financial,unsecured S3 bucket,Finance
"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,financial,hacked,Finance
Cathay Pacific Airways,2018,9400000,transport,hacked,Retail
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,hacked,Healthcare
Central Coast Credit Union,2016,60000,financial,hacked,Finance
Central Hudson Gas & Electric,2013,110000,energy,hacked,Other
CheckFree Corporation,2009,5000000,financial,hacked,Finance
CheckPeople,2020,56000000,background check,unknown,Other
China Software Developer Network,2011,6000000,web,hacked,Technology
"Chinese gaming websites (three: Duowan, 7K7K, 178.com)",2011,10000000,web,hacked,Technology
Citigroup,2005,3900000,financial,lost / stolen media,Finance
Citigroup,2011,360083,financial,hacked,Finance
Citigroup,2013,150000,financial,poor security,Finance
City and Hackney Teaching Primary Care Trust,2007,160000,healthcare,lost / stolen media,Healthcare
Colorado government,2010,105470,healthcare,lost / stolen computer,Healthcare
Community Health Systems,2014,4500000,healthcare,hacked,Healthcare
Philippines Commission on Elections,2016,55000000,government,hacked,Government
Compass Bank,2007,1000000,financial,inside job,Finance
Countrywide Financial Corp,2006,2600000,financial,inside job,Finance
Countrywide Financial Corp,2011,2500000,financial,inside job,Finance
Centers for Medicare & Medicaid Services,2018,75000,healthcare,hacked,Healthcare
Cox Communications,2016,40000,telecoms,hacked,Technology
"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen computer,Healthcare
Dai Nippon Printing,2007,8637405,retail,inside job,Retail
"Data Processors International (MasterCard, Visa, Discover Financial Services and American Express)",2008,8000000,financial,hacked,Finance
US Department of Homeland Security,2016,30000,government,poor security,Government
Desjardins,2019,9700000,financial,inside job,Finance
Domino's Pizza (France),2014,600000,web,hacked,Technology
DoorDash,2019,4900000,web,hacked,Technology
UK Driving Standards Agency,2007,3000000,government,lost / stolen media,Government
Dropbox,2012,68648009,web,hacked,Technology
Drupal,2013,1000000,web,hacked,Technology
DSW Inc.,2005,1400000,retail,hacked,Retail
Dun & Bradstreet,2013,1000000,tech,hacked,Technology
eBay,2014,145000000,web,hacked,Technology
"Earl Enterprises(Buca di Beppo, Earl of Sandwich, Planet Hollywood,Chicken Guy, Mixology, Tequila Taqueria)",2018-2019,2000000,restaurant,hacked,Other
Educational Credit Management Corporation,2010,3300000,financial,lost / stolen media,Finance
Eisenhower Medical Center,2011,514330,healthcare,lost / stolen computer,Healthcare
ElasticSearch,2019,108000000,tech,poor security,Technology
Embassy Cables,2010,251000,government,inside job,Government
"Emergency Healthcare Physicians, Ltd.",2010,180111,healthcare,lost / stolen media,Healthcare
Emory Healthcare,2012,315000,healthcare,poor security,Healthcare
Equifax,2017,163119000,"financial, credit reporting",poor security,Finance
Evernote,2013,50000000,web,hacked,Technology
Exactis,2018,340000000,data broker,poor security,Other
Excellus BlueCross BlueShield,2015,10000000,healthcare,hacked,Healthcare
Experian - T-Mobile US,2015,15000000,telecoms,hacked,Technology
Facebook,2013,6000000,social network,accidentally published,Other
Facebook,2018,50000000,social network,poor security,Other
Facebook,2019,540000000,social network,poor security,Other
Facebook,2019,1500000,social network,accidentally uploaded,Other
Facebook,2019,267000000,social network,poor security,Other
Fast Retailing,2019,461091,retail,hacked,Retail
Federal Reserve Bank of Cleveland,2010,400000,financial,hacked,Finance
Fidelity National Information Services,2007,8500000,financial,inside job,Finance
First American Corporation,2019,885000000,financial service company,poor security,Finance
Florida Department of Juvenile Justice,2013,100000,government,lost / stolen computer,Government
Friend Finder Networks,2016,412214295,web,poor security / hacked,Technology
Funimation,2016,2500000,web,hacked,Technology
Formspring,2012,420000,web,accidentally published,Technology
Unknown,2020,201000000,personal and demographic data about residents and their properties of US,Poor security,Other
Gamigo,2012,8000000,web,hacked,Technology
Gap Inc.,2007,800000,retail,lost / stolen computer,Retail
Gawker,2010,1500000,web,hacked,Technology
Global Payments,2012,7000000,financial,hacked,Finance
Gmail,2014,5000000,web,hacked,Technology
Google Plus,2018,500000,social network,poor security,Other
Greek government,2012,9000000,government,hacked,Government
Grozio Chirurgija,2017,25000,healthcare,hacked,Healthcare
GS Caltex,2008,11100000,energy,inside job,Other
Hannaford Brothers Supermarket Chain,2007,4200000,retail,hacked,Retail
HauteLook,2018,28517244,retail,hacked,Retail
Health Net,2009,500000,healthcare,lost / stolen media,Healthcare
Health Net — IBM,2011,1900000,healthcare,lost / stolen media,Healthcare
Health Sciences Authority (Singapore),2019,808000,healthcare,poor security,Healthcare
Heartland,2009,130000000,financial,hacked,Finance
Hewlett Packard,2006,200000,"tech, retail",lost / stolen media,Other
Hilton Hotels,2014 and 2015,363000,hotel,hacked,Retail
Home Depot,2014,56000000,retail,hacked,Retail
Honda Canada,2011,283000,retail,poor security,Retail
Instagram,2020,200000000,social network,poor security,Other
Internal Revenue Service,2015,720000,financial,hacked,Finance
Inuvik hospital,2016,6700,healthcare,inside job,Healthcare
"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,financial,hacked,Finance
Japan Pension Service,2015,1250000,special public corporation,hacked,Other
Japanet Takata,2004,510000,shopping,inside job,Retail
"Jefferson County, West Virginia",2008,1600000,government,accidentally published,Government
JP Morgan Chase,2010,2600000,financial,lost / stolen media,Finance
JP Morgan Chase,2014,76000000,financial,hacked,Finance
Justdial,2019,100000000,local search,unprotected api,Other
KDDI,2006,4000000,telecoms,hacked,Technology
Kirkwood Community College,2013,125000,academic,hacked,Education
KM.RU,2016,1500000,web,hacked,Technology
Korea Credit Bureau,2014,20000000,financial,inside job,Finance
Kroll Background America,2013,1000000,tech,hacked,Technology
KT Corporation,2012,8700000,telecoms,hacked,Technology
LexisNexis,2014,1000000,tech,hacked,Technology
LifeLabs,2019,15000000,healthcare,hacked,Healthcare
Lincoln Medical & Mental Health Center,2010,130495,healthcare,lost / stolen media,Healthcare
"LinkedIn, eHarmony, Last.fm",2012,8000000,web,accidentally published,Technology
Living Social,2013,50000000,web,hacked,Technology
MacRumors.com,2014,860000,web,hacked,Technology
Marriott International,2018,500000000,hotel,hacked,Retail
Marriott International,2020,5200000,hotel,poor security/inside job,Retail
Massachusetts Government,2011,210000,government,poor security,Government
Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,financial,hacked,Finance
US Medicaid,2012,780000,"government, healthcare",hacked,Government
Medical Informatics Engineering,2015,3900000,healthcare,hacked,Healthcare
Memorial Healthcare System,2011,102153,healthcare,lost / stolen media,Healthcare
Michaels,2014,3000000,retail,hacked,Retail
Microsoft,2019,250000000,tech,data exposed by misconfiguration,Technology
Militarysingles.com,2012,163792,"web, military",accidentally published,Other
Ministry of Education (Chile),2008,6000000,government,accidentally published,Government
Ministry of Health (Singapore),2019,14200,healthcare,poor security/inside job,Healthcare
Mitsubishi Tokyo UFJ Bank,2006,960000,financial,intentionally lost,Finance
MongoDB,2019,202000000,tech,poor security,Technology
MongoDB,2019,275000000,tech,poor security,Technology
Mobile TeleSystems (MTS),2019,100000000,telecommunications,misconfiguration/poor security,Technology
Monster.com,2007,1600000,web,hacked,Technology
Morgan Stanley Smith Barney,2011,34000,financial,lost / stolen media,Finance
Mozilla,2014,76000,web,poor security,Technology
MyHeritage,2018,92283889,genealogy,unknown,Other
Neiman Marcus,2014,1100000,retail,hacked,Retail
Nemours Foundation,2011,1055489,healthcare,lost / stolen media,Healthcare
Network Solutions,2009,573000,tech,hacked,Technology
New York City Health & Hospitals Corp.,2010,1700000,healthcare,lost / stolen media,Healthcare
New York State Electric & Gas,2012,1800000,energy,inside job,Other
New York Taxis,2014,52000,transport,poor security,Retail
Nexon Korea Corp,2011,13200000,web,hacked,Technology
NHS,2011,8300000,healthcare,lost / stolen media,Healthcare
Nintendo (Club Nintendo),2013,240000,gaming,hacked,Technology
Nintendo (Nintendo Account),2020,160000,gaming,hacked,Technology
Nippon Television,2016,430000,media,hacked,Media
Nival Networks,2016,1500000,gaming,hacked,Technology
Norwegian Tax Administration,2008,3950000,government,accidentally published,Government
Now:Pensions,2020,30000,financial,rogue contractor,Finance
US Office of Personnel Management,2015,21500000,government,hacked,Government
Office of the Texas Attorney General,2012,6500000,government,accidentally published,Government
Ohio State University,2010,760000,academic,hacked,Education
Orbitz,2018,880000,web,hacked,Technology
Patreon,2015,2300000,web,hacked,Technology
PayPay,2020,20076016,QR code payment,"improper setting, hacked",Other
Popsugar,2018,123857,fashion,hacked,Other
Premera,2015,11000000,healthcare,hacked,Healthcare
Puerto Rico Department of Health,2010,515000,healthcare,hacked,Healthcare
Quest Diagnostics,2019,11900000,Clinical Laboratory,poor security,Healthcare
Quora,2018,100000000,Question & Answer,hacked,Other
Rakuten,2020,1381735,web,"improper setting, hacked",Technology
Rambler.ru,2012,98167935,web,hacked,Technology
RBS Worldpay,2008,1500000,financial,hacked,Finance
Restaurant Depot,2011,200000,retail,hacked,Retail
RockYou!,2009,32000000,"web, gaming",hacked,Technology
"Sakai City, Japan",2015,680000,government,inside job,Government
San Francisco Public Utilities Commission,2011,180000,government,hacked,Government
Scottrade,2015,4600000,financial,hacked,Finance
Scribd,2013,500000,web,hacked,Technology
"Seacoast Radiology, PA",2010,231400,healthcare,hacked,Healthcare
Sega,2011,1290755,gaming,hacked,Technology
Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen media,Government
SingHealth,2018,1500000,"government, database",hacked,Other
Slack,2015,500000,tech,poor security,Technology
SlickWraps,2020,377428,phone accessories,poor security,Technology
SnapChat,2013,4700000,"web, tech",hacked,Other
Sony Online Entertainment,2011,24600000,gaming,hacked,Technology
Sony Pictures,2011,1000000,web,hacked,Technology
Sony PlayStation Network,2011,77000000,gaming,hacked,Technology
South Africa police,2013,16000,government,hacked,Government
South Carolina Government,2012,6400000,healthcare,inside job,Healthcare
"South Shore Hospital, Massachusetts",2010,800000,healthcare,lost / stolen media,Healthcare
Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked,Healthcare
Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen computer,Healthcare
Stanford University,2008,72000,academic,lost / stolen computer,Education
Starbucks,2008,97000,retail,lost / stolen computer,Retail
State of Texas,2011,3500000,government,accidentally published,Government
Steam,2011,35000000,web,hacked,Technology
StockX,2019,6800000,retail,hacked,Retail
Stratfor,2011,935000,military,accidentally published,Government
Sutter Medical Center,2011,4243434,healthcare,lost / stolen computer,Healthcare
Syrian government (Syria Files),2012,2434899,government,hacked,Government
Taobao,2016,20000000,retail,hacked,Retail
Taringa!,2017,28722877,web,hacked,Technology
Target Corporation,2013,110000000,retail,hacked,Retail
TaxSlayer.com,2016,8800,web,hacked,Technology
TD Ameritrade,2007,6300000,financial,hacked,Finance
TD Bank,2012,260000,financial,hacked,Finance
TerraCom & YourTel,2013,170000,telecoms,accidentally published,Technology
Tetrad,2020,120000000,market analysis,poor security,Other
Texas Lottery,2007,89000,government,inside job,Government
Ticketfly (subsidiary of Eventbrite),2018,26151608,ticket distribution,hacked,Other
Tianya Club,2011,28000000,web,hacked,Technology
TikTok,2020,42000000,social media,poor security,Technology
TK / TJ Maxx,2007,94000000,retail,hacked,Retail
"T-Mobile, Deutsche Telekom",2006,17000000,telecoms,lost / stolen media,Technology
T-Mobile,2021,45000000,telecom,hacked,Other
Tricare,2011,4901432,"military, healthcare",lost / stolen computer,Healthcare
"Triple-S Salud, Inc.",2010,398000,healthcare,lost / stolen media,Healthcare
Truecaller,2019,299055000,Telephone directory,unknown,Other
Tumblr,2013,65469298,web,hacked,Technology
Twitter,2013,250000,web,hacked,Technology
Uber,2014,50000,tech,poor security,Technology
Uber,2017,57000000,transport,hacked,Retail
Ubuntu,2013,2000000,tech,hacked,Technology
"UCLA Medical Center, Santa Monica",2015,4500000,healthcare,hacked,Healthcare
UK Home Office,2008,84000,government,lost / stolen media,Government
UK Ministry of Defence,2008,1700000,government,lost / stolen media,Government
UK Revenue & Customs,2007,25000000,government,lost / stolen media,Government
Universiti Teknologi MARA,2019,1164540,academic,hacked,Education
Under Armour,2018,150000000,Consumer Goods,hacked,Retail
"University of California, Berkeley",2009,160000,academic,hacked,Education
"University of California, Berkeley",2016,80000,academic,hacked,Education
"University of Maryland, College Park",2014,300000,academic,hacked,Education
University of Central Florida,2016,63000,academic,hacked,Education
University of Miami,2008,2100000,academic,lost / stolen computer,Education
University of Utah Hospital & Clinics,2008,2200000,academic,lost / stolen media,Education
University of Wisconsin–Milwaukee,2011,73000,academic,hacked,Education
United States Postal Service,2018,60000000,government,poor security,Government
U.S. Army,2011,50000,military,accidentally published,Government
U.S. Army(classified Iraq War documents),2010,392000,government,inside job,Government
U.S. Department of Defense,2009,72000,military,lost / stolen media,Government
U.S. Department of Veteran Affairs,2006,26500000,"government, military",lost / stolen computer,Government
U.S. law enforcement (70 different agencies),2011,123461,government,accidentally published,Government
National Archives and Records Administration (U.S. military veterans records),2009,76000000,military,lost / stolen media,Government
U.S. government (United States diplomatic cables leak),2010,260000,military,inside job,Government
National Guard of the United States,2009,131000,military,lost / stolen computer,Government
Vastaamo,2020,130000,healthcare,hacked,Healthcare
Verizon Communications,2016,1500000,telecoms,hacked,Technology
View Media,2020,38000000,online marketing,publicly accessible Amazon Web Services (AWS) server,Other
Virgin Media,2020,900000,mobile carrier,accidentally exposed,Other
Virginia Department of Health,2009,8257378,"government, healthcare",hacked,Government
Virginia Prescription Monitoring Program,2009,531400,healthcare,hacked,Healthcare
Vodafone,2013,2000000,telecoms,inside job,Technology
VTech,2015,5000000,retail,hacked,Retail
Walmart,2015,1300000,retail,hacked,Retail
Washington Post,2011,1270000,media,hacked,Media
Washington State court system,2013,160000,government,hacked,Government
Wattpad,2020,270000000,web,hacked,Technology
Wawa (company),2020,30000000,retail,hacked,Retail
Weebly,2016,43430316,web,hacked,Technology
Writerspace.com,2011,62000,web,hacked,Technology
Xat.com,2015,6054459,web,social engineering,Technology
Yahoo,2013,-1294967296,web,hacked,Technology
Yahoo,2014,500000000,web,hacked,Technology
Yahoo Japan,2013,22000000,"tech, web",hacked,Other
Yahoo! Voices,2012,450000,web,hacked,Technology
Yale University,2010,43000,academic,accidentally published,Education
YouTube,2020,4000000,social media,poor security,Technology
Zappos,2012,24000000,web,hacked,Technology
Zynga,2019,173000000,social network,hacked,Other
Westpac,2019,98000,financial,hacked,Finance
Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,financial,accidentally published,Finance
National Health Information Center (NCZI) of Slovakia,2020,391250,healthcare,poor security,Healthcare
Les Éditions Protégez-vous,2020,380000,publisher (magazine),unknown,Other
